Cultivar,Epithet,Category,Color / Form,Description,Notes,Image URL
Autumn Rocket,Camellia japonica 'Gloire de Nantes',S,Pure White with Creamy Center / Anemone Semi-double,Flowers from pink buds; upright columnar form 8-10ft tall x 3-4ft wide; late fall to early winter bloom.,"Autumn Rocket is a striking sasanqua prized for its elegant columnar habit and reliable fall-to-winter flowering. The cultivar produces deceptive pink buds that open to reveal pure white anemone-form flowers with softly creamy, pale yellow center petals accented by prominent golden stamens. This upright evergreen shrub grows 8-10 feet tall with a narrow 3-4-foot spread, ideal for vertical emphasis in garden design. Blooming from late fall into early winter, it performs best in full sun to part shade. Its distinctive columnar form and prolific white flowers have made it popular for modern camellia gardens. (Source: Camellia Forest Nursery)",https://camellia.iflora.cn/Cutivars/Detail?latin=Autumn+Rocket
Aztec Warrior,Camellia sasanqua 'Avery Warriner',J,Graduated Shading / Semi-double,"JAPONICA.; Registered 2011; Upright; Avery Warriner (Camellia sasanqua） ACS Registration #3092. This 12-year-old C. sasanqua chance seedling first bloomed in 2011. It was originated, registered, and propagated by Tom Warriner of Birmingham, Alabama. Bloom: The small sized 7.62cm x 2.54cm - 3.81cm semidouble form flower is medium pink fading to light pink at the petal edges. It has yellow anthers and yellow filaments.This profuse bloomer has consistent form. Plant: The plant habit is upright. The growth rate is vigorous. The plant is suitable for.","Avery Warriner is a japonica camellia, registered in 2011. It arose as a chance seedling . The flowers are semi-double in form, displaying graduated shading coloring. Growth is upright. Foliage features dark green leaves average 6. As a japonica camellia, Avery Warriner is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Aztec Warrior' and is registered as 'Avery Warriner'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Avery+Warriner
Barbara Dooley,Camellia japonica 'Barbara Whaley',J,Light Red / Anemone,"Anemone form with 12 petals and 30+ petaloids; large 10.2-11.4cm; Gene Phillips, Savannah GA; first bloomed 2017; ACS #2023.","Barbara Dooley is a recent introduction registered in 2023 by Gene Phillips of Gene's Nursery in Savannah, Georgia. This 14-year-old chance seedling derived from 'Royal Velvet' x 'Francis Eugene Phillips' demonstrates modern American breeding refinement with light red anemone-form blooms featuring a prominent central boss of yellow stamens. The substantial flowers measure over 10 centimeters with twelve large petals surrounding more than thirty ornamental petaloids. Vigorous growth with upright, dense habit and attractive dark green foliage makes it a contemporary addition to American camellia breeding heritage. (Source: American Camellia Society)",https://camellia.iflora.cn/Cutivars/Detail?latin=Barbara+Dooley
Bealuh,Camellia japonica 'Bealei Rosea',S,Pink / Double,Limited specific information; 'Bealei Rosea' variant of historical Bealei group; pink-flowered form.,"Bealei Rosea belongs to an historic group of camellia cultivars with roots in traditional Asian breeding. The 'Rosea' designation indicates pink coloration in this double-flowered form, though comprehensive information on originator, precise size, registration date, and blooming season is not readily available in English-language sources. The Bealei group represents important heritage camellias that influenced subsequent breeding programs, but modern documentation for this specific pink variant appears limited. (Limited information available)",https://camellia.iflora.cn/Cutivars/Detail?latin=Bealei+Rosea
Bernice Body,Camellia japonica 'Berenice Boddy',J,Light Pink with Deeper Pink Undersides / Semi-double,"Medium-large 8cm; 5 upright petals forming cup; Jones, Sierra Madre CA; US Plant Patent 605 (1953); late winter to early spring.","Berenice Boddy is a classic American camellia developed by Jones at Rancho del Descanso in Sierra Madre, California, representing an important watershed in mid-twentieth century breeding. Named for Mrs. Manchester Boddy, wife of the Los Angeles Daily News publisher, this cultivar received U.S. Plant Patent No. 605 in 1953. The elegant light pink flowers feature sophisticated color gradation with deeper pink on petal undersides and delicate white filaments. The Royal Horticultural Society honored it with an Award of Garden Merit in 1993. Most significantly, Berenice Boddy became a key parent plant in cold-hardy breeding programs, particularly the April series of hybrids, making it foundational to modern camellia genetics. (Source: RHS and International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Berenice+Boddy
Bessie Shearhouse,Camellia japonica 'Bessie Shearouse',J,Unknown / Unknown,Limited public information available; appears in International Camellia Register.,Information not readily available. Cultivar appears in International Camellia Register but detailed characteristics not publicly accessible. Further research through American Camellia Society archives or direct contact would provide specifications. (Limited information available),https://camellia.iflora.cn/Cutivars/Detail?latin=Bessie+Shearouse
Betty Boardman  (Augusta),Lotus Boardman,J,White Variegated / Semi-double,"JAPONICA.; Registered 1945; Alonza P. Boardman; Bushy, compact, vigorous grower; Fruitland Nursery Catalogue, 1945-1946, p.27: A large, deep pink, semi-double, 9-10 cm across, resembling ‘Donckelaeri’ (Masayoshi). Filaments white with a pink base and golden anthers; buds long and narrow. Leaves, light green, glossy, broad-ovate, 9.5 cm x 5.5 cm, long prominent apex, veins pronounced, serrations shallow. A bushy, compact, vigorous grower. Originated by Alonza P. Boardman, Georgia, USA from a seedling of unknown parents. Not to be confused with the cultivar Elizabeth Boardman. Sport Betty Boardman Variegated.","Betty Boardman is a japonica camellia originated by Alonza P. Boardman of Georgia, USA from a seedling of unknown parents, registered in 1945. The flowers are semi-double in form, displaying white variegated coloring. Growth is bushy, compact, vigorous grower. As a japonica camellia, Betty Boardman is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Betty Boardman  (Augusta)' and is registered as 'Betty Boardman'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Betty+Boardman
Betty Burgess,Camellia japonica 'Betty Drews',J,Pink / Formal Double,"JAPONICA.; ACS #1798 (1982); Rupert E. Drews, South Carolina, USA; 10-year seedling, first bloomed 1978; Upright and rapid with dark green leaves, 8","Betty Drews is a japonica camellia originated by Rupert E. Drews of South Carolina, USA, registered in 1982 (ACS Reg. No. 1798). First published in the American Camellia Yearbook. Grown as a 10-year-old seedling that first bloomed in 1978. The flowers are formal double in form, displaying pink coloring. Each bloom features 50 petals. Plant growth is upright and rapid with dark green leaves, 8. Foliage features dark green leaves, 8. As a japonica camellia, Betty Drews is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Betty Burgess' and is registered as 'Betty Drews'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Betty+Drews
Betty Sheffield Silver,Camellia japonica 'Betty Sheffield Supreme',J,Red / Peony,"JAPONICA.; ACS #381 (1957); Mrs Green Alday, Georgia, USA; Griffin ed., 1957, Camellian, 8(4):18; American Camellia Yearbook, 1959, p.269, Reg. No.381: A sport of Betty Sheffield originated by Mrs Green Alday, Georgia, USA, first observed in 1956. The semi-double flowers are like its parents in form but are pure white in colour with a narrow band of deep pink on the petal margins. See colour plates American Camellia Yearbook 1959 facing p.82; Macoboy, 1981, The Colour Dictionary of Camellias, p.57. Frontispiece, New Zealand Camellia Bulletin, vol.V, No.6. This cultivar.","Betty Sheffield Supreme is a japonica camellia originated by Mrs Green Alday of Georgia, USA, registered in 1957 (ACS Reg. No. 381). First published in the American Camellia Yearbook. It is a sport of Betty Sheffield originated by Mrs Green Alday, Georgia, USA, first observed in 1956. The flowers are peony in form, displaying red coloring. Awards and recognition: William Hertrich Award”. As a japonica camellia, Betty Sheffield Supreme is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Betty Sheffield Silver' and is registered as 'Betty Sheffield Supreme'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Betty+Sheffield+Supreme
Bev Piet Smiles,Camellia japonica 'Bev Piets Smile',J,Red / Peony,"JAPONICA.; Registered 2008; Upright growth; ACS, The Camellia Journal, Sept 2008, p.30 with colour photo; Regn No. 2715; 11.5 cm diameter, semi-double to peony form. Dark red and white. Yellow anthers and light pink to white filaments. Average upright growth. Raised by Meyer Piet, Arcadia, Calif., USA in 1995. American Camellia Yearbook, 2008, p.106 with colour photo; Dark grren leaves 10 cm x 5 cm.","Bev Piets Smile is a japonica camellia, registered in 2008. First published in the American Camellia Yearbook. The flowers are peony in form, displaying red coloring. Growth is upright growth. As a japonica camellia, Bev Piets Smile is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Bev Piet Smiles' and is registered as 'Bev Piets Smile'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Bev+Piets+Smile
Black Magic,Camellia japonica 'Black Majic',J,Unknown / Unknown,"JAPONICA.; Registered 1956; SCCS, 1956, The Camellia Review according to Albert Fendig. No description. Originated in USA.","Black Majic is a japonica camellia, registered in 1956. The flowers are unknown in form, displaying unknown coloring. As a japonica camellia, Black Majic is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Black Magic' and is registered as 'Black Majic'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Black+Majic
Black Tie,Camellia japonica 'Burakku-bādo',J,Dark Red / Semi-double,"JAPONICA.; Registered 1998; Upright, dense branching, slow growing; Nippon Tsubaki - Sasanqua Meikan, 1998, p.227 with colour photo; English translation p.159. Small, deeply purplish dark red, semi-double, somewhat slender petals, profuse, cylindrical stamen column. Flowers late. Leaves somewhat narrowly elliptic, small. Upright, dense branching, slow growing. A natural seedling of unknown parentage. Named and released by Shinichi Noguchi in 1994. From Tokyo.","Burakku-bādo is a japonica camellia, registered in 1998. The flowers are semi-double in form, displaying dark red coloring. Growth is Upright, dense branching, slow growing. As a japonica camellia, Burakku-bādo is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Black Tie' and is registered as 'Burakku-bādo'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Burakku-b%C4%81do
Blood of China,Camellia japonica 'Blood of China',J,Red Variegated / Peony,"JAPONICA.; Registered 1938; Open, a short bunch of golden stamens adds to the colour harmony","Blood of China is a japonica camellia, registered in 1938. The flowers are peony in form, displaying red variegated coloring. Growth is open, a short bunch of golden stamens adds to the colour harmony. As a japonica camellia, Blood of China is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Blood+of+China
Blue Danube,Blue Angel,J,Lavender / Peony,"JAPONICA.; Registered 1960; McCaskill Gardens; Vigorous, compact growth; McCaskill Garden’s Catalogue, 1960: Medium size. peony form, rose lavender in colour. Vigorous, compact growth. Flowers mid-season. Originated by McCaskill Gardens, Pasadena, California, USA. Chinese synonym: ‘Lanse Dounaohe’.","Blue Danube is a japonica camellia originated by McCaskill Gardens of Pasadena, California, USA, registered in 1960. The flowers are peony in form, displaying lavender coloring. Growth is Vigorous, compact growth. As a japonica camellia, Blue Danube is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Blue+Danube
Blue Ridge Sunset,Camellia reticulata 'Auburn Sunset',J,Pink / Peony,"JAPONICA.; Registered 2020; Upright; Auburn Sunset ( C. reticulata hybrid) Registered in 2020. ACS Registration #3183. This 12 year-old C. reticulata hybrid chance seedling first bloomed in 2014. It was originated, registered and propagated by James Walker and Leo Brown of Mobile, Alabama, USA. 【 Bloom 】 The large to very large sized 12.7cm x 6.5cm loose peony form flower is orchid pink with yellow anthers. The bloom has rabbit ears. This cultivar is a profuse bloomer, falls in one piece, is long lasting.","Auburn Sunset is a japonica camellia, registered in 2020. It arose as a chance seedling . The flowers are peony in form, displaying pink coloring. Growth is upright. Foliage features dark green leaves average 10. As a japonica camellia, Auburn Sunset is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Blue Ridge Sunset' and is registered as 'Auburn Sunset'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Auburn+Sunset
Bob Hope,Bob White,J,Dark Red Variegated / Semi-double,"JAPONICA.; ACS #1522 (1972); Nuccio, Altadena, California; 9-year seedling, first bloomed 1969; Upright, dense and medium in rate with dark green leaves, 6 cm long","Bob Hope is a japonica camellia originated by Nuccio of Altadena, California, USA, registered in 1972 (ACS Reg. No. 1522). First published in the American Camellia Yearbook. Grown as a 9-year-old seedling that first bloomed in 1969. The flowers are semi-double in form, displaying dark red variegated coloring. Plant growth is upright, dense and medium in rate with dark green leaves, 6 cm long by 4 cm wide. Foliage features dark green leaves, 6 cm long by 4 cm wide. Awards and recognition: AGM (Award of Garden Merit) plant by the Royal Horticultural Society in 1993 at H5. As a japonica camellia, Bob Hope is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Bob+Hope
Bobbie Fain Var.,Camellia 'Bonnie Marie',J,Pink / Anemone,"JAPONICA.; Registered 1960; James Rare Plant Nursery, Aptos, California; Vigorous, compact, upright growth; Nuccio’s Nurseries Catalogue, 1960. A seedling from the cross (C.saluenen­sis x C.cuspidata) Robbie x C.japonica, Charlottte Bradford, originated by James Rare Plant Nursery, Aptos, California, USA. Plant Patent 1801. Phlox pink, large, semi-double to anemone form double with fluted petals. Vigorous, compact, upright growth. For another form of this cultivar see ‘FBI’. For colour photo see front page, SCCS, 1960, The Camellia Review, vol.22, No.1.","Bonnie Marie is a japonica camellia originated by James Rare Plant Nursery of Aptos, California, USA, registered in 1960. The flowers are anemone in form, displaying pink coloring. Growth is Vigorous, compact, upright growth. As a japonica camellia, Bonnie Marie is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Bobbie Fain Var.' and is registered as 'Bonnie Marie'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Bonnie+Marie
Brother Rose,Camellia saluenensis 'Bartley Pink',J,Pink / Unknown,"JAPONICA.; Registered 1954; Mr Dalrymple; RHS, 1954, Rhododendron and Camellia Yearbook, No.8, P.96; Hillier, 1955, American Camellia Yearbook, p.5-6: Bright cherry pink, decidedly blush, (Rose Madder HCC.23/2), unfolding flowers campanulate, 6.5 cm across; petals usually 5, ovate-oblong, inclined to obovate, about 3, 5 cm long by 3 cm wide; stamens in a cylindrical mass, united at basal half, 1.8 cm across, stigma same height as stamens; sepals orbicular ovate, silvery. Leaves, ovate to elliptic-ovate, closely serrate, dark matt green, paler glossy below, 6-8.5 cm long.","Bartley Pink is a japonica camellia originated by Mr Dalrymple of Southhampton, England, registered in 1954. First published in the American Camellia Yearbook. The flowers are unknown in form, displaying pink coloring. Awards and recognition: RHS, 1954, Rhododendron and Camellia Yearbook, No. As a japonica camellia, Bartley Pink is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Brother Rose' and is registered as 'Bartley Pink'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Bartley+Pink
Brushfield's Yellow,Camellia japonica 'Brushfield's Yellow',J,Yellow / Anemone,"JAPONICA.; Registered 1970; Vigorous, compact, rather columnar growth; Camellia Grove Nursery Catalogue, 1970-1971: Antique white guard petals, surround double centre of tightly ruffled, pale primrose yellow petaloids. Medium size. Vigorous, compact, rather columnar growth. Mid-season blooming. Very similar to Gwenneth Morey . Originated in Australia by Keith Brushfield, Somersby, N.S.W. For illustration see Macoboy, 1981, The Colour Dictionary of Camellias, p.73 and Encyclopedia of Camellias in Colour, vol.II, 1978, No.19, p.28.","Brushfield's Yellow is a japonica camellia, registered in 1970. The flowers are anemone in form, displaying yellow coloring. Growth is Vigorous, compact, rather columnar growth. As a japonica camellia, Brushfield's Yellow is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Brushfield%27s+Yellow
